"","responsible","total","proportion"
"Total",355295,4930052,7.20671911776996
"Tactical",767,79322,0.966944857668743
"Rifles",105142,1633168,6.4379169809842
"Shotguns",21443,410295,5.22623965683228
"Handguns",216781,2362352,9.17649020975706
"Gun",5038,260812,1.93165958621536
"Muzzle",855,33002,2.59075207563178
"NFA",1459,8504,17.156632173095
"Antique",2964,52448,5.65131177547285
"Paintball/Airsoft",38,5679,0.669131889417151
"Hunting",123,11757,1.04618525133963
"Farming",35,4419,0.792034396922381
"All",13,111,11.7117117117117
"Reloading",196,47578,0.411955105300769
"Targets",53,5006,1.05872952457052
"",0,35,0
"Firearms",273,5824,4.6875
"Other",5,347,1.44092219020173
"Air",105,6974,1.50559219959851
"no type",5,2419,0.20669698222406
